timestamp,source_ip,destination_ip,protocol,attack_type,severity,status,packet_size,duration,num_packets,attack_score,rand_noise,log_duration,log_attack_score
03JAN24:02:00:00,152.160.7.17,28.237.54.30,HTTP,Malware,Low,Blocked,891,155.18,158,2237.5648851,-58.51506586,5.0445857979,6.9351223064
03JAN24:03:00:00,61.244.135.128,144.181.252.68,HTTP,Phishing,Medium,Blocked,547,229.11,286,2900.4018118,-96.78076848,5.4342022812,7.3178690596
03JAN24:04:00:00,8.47.6.185,105.180.20.153,HTTP,SQL Injection,Medium,Blocked,875,134.25,422,2493.7826348,20.484409356,4.8997038079,6.8671774415
03JAN24:05:00:00,135.84.208.210,3.45.80.89,HTTPS,Malware,Medium,Successful,690,236.98,314,3005.6492057,-28.4516704,5.4679757916,7.3965857775
03JAN24:06:00:00,145.19.169.242,39.125.19.79,ICMP,Ransomware,Critical,Successful,244,185.54,94,1870.1811684,-112.7946215,5.2232705461,7.0783292595
03JAN24:07:00:00,186.226.183.173,164.31.131.25,TCP,Brute Force,Medium,Successful,420,34.02,297,1051.0225388,2.5988299118,3.5269488809,5.4837126941
03JAN24:08:00:00,91.211.49.166,216.1.40.185,HTTP,Phishing,Low,Successful,1136,46.98,94,1184.9872827,2.2711558503,3.8497221921,5.8025145683
03JAN24:09:00:00,104.13.74.245,152.34.21.84,UDP,SQL Injection,Medium,Successful,1139,131.17,57,1717.7877031,-33.81843633,4.8764942681,6.7848773065
03JAN24:10:00:00,201.13.181.219,1.124.142.79,HTTP,Malware,High,Blocked,116,119.13,164,1224.3637134,-35.21391068,4.7802154178,6.6829805221
03JAN24:11:00:00,194.182.240.132,190.174.226.230,UDP,Malware,High,Blocked,855,223.09,320,3064.8930005,-10.48209798,5.4075753223,7.3467505242
03JAN24:12:00:00,9.179.219.213,129.192.29.38,UDP,Phishing,Low,Blocked,807,174.26,497,3037.7215589,61.835020022,5.1605484942,7.1559075139
03JAN24:13:00:00,217.140.220.21,24.64.15.62,HTTP,Ransomware,Critical,,449,116.5,98,1471.4347002,-6.41239293,4.7578913588,6.6959072141
03JAN24:14:00:00,170.203.175.90,78.26.190.119,HTTPS,Phishing,Medium,Successful,145,51.31,16,434.34227198,5.0945809239,3.9378858598,5.8978805017
03JAN24:15:00:00,106.149.180.113,142.183.44.227,UDP,Malware,Low,Blocked,590,68.13,344,1813.2981482,22.200075982,4.2214177916,6.2128266846
03JAN24:16:00:00,4.1.43.214,166.153.75.248,UDP,DDoS,Low,Blocked,865,172.69,78,1983.9784769,34.670185082,5.1514981375,7.1256854201
03JAN24:17:00:00,159.69.80.225,202.4.250.112,HTTP,SQL Injection,Low,Blocked,1338,127.09,346,2314.1218162,-26.87796737,4.8448955756,6.7601273296
03JAN24:18:00:00,87.59.19.173,144.218.184.174,UDP,Phishing,High,Blocked,127,154.53,72,1491.3997276,9.347910842,5.040388317,6.9949030741
03JAN24:19:00:00,217.215.39.223,113.124.247.117,UDP,Malware,Low,Blocked,920,51.29,270,1445.0300073,13.349652573,3.9374959964,5.9199139321
03JAN24:20:00:00,115.218.156.42,53.227.54.29,HTTP,Ransomware,Low,Blocked,1140,198.91,287,3003.033656,-39.64799661,5.2928525114,7.2098741476
03JAN24:21:00:00,210.133.45.128,75.108.79.122,HTTP,Malware,High,Blocked,1140,255.78,66,2684.9404281,98.258787348,5.5443177391,7.5436539932
03JAN24:22:00:00,95.26.119.184,27.80.46.197,TCP,Ransomware,Medium,Blocked,579,77.46,368,1765.9809854,-10.63572245,4.3497618032,6.2758617695
03JAN24:23:00:00,162.3.29.117,116.78.34.105,HTTPS,Phishing,Low,Blocked,284,147.51,68,1448.6041168,-2.631422319,4.9938960379,6.9372544558
04JAN24:00:00:00,94.107.6.199,97.133.118.137,HTTPS,Ransomware,Low,Blocked,617,292.66,193,3273.3390788,-34.6157411,5.6790115598,7.6078801929
04JAN24:01:00:00,200.169.23.10,22.99.171.23,UDP,Brute Force,Low,Blocked,1445,100.04,55,1668.6867393,-2.065297469,4.605570206,6.5485266665
04JAN24:02:00:00,123.98.150.36,115.223.118.166,HTTPS,Brute Force,Low,Blocked,1021,178.55,468,3025.5902058,47.109105104,5.18486873,7.1677776612
04JAN24:03:00:00,194.205.250.139,214.157.238.59,UDP,Brute Force,Medium,Blocked,756,27.15,379,1699.3111056,2.2352591386,3.3013774147,5.2589800461
04JAN24:04:00:00,188.196.139.127,115.254.192.163,TCP,DDoS,Low,Blocked,181,181.84,462,2474.4612603,31.712964358,5.2031272345,7.1736463741
04JAN24:05:00:00,199.191.48.248,174.217.36.225,HTTP,Phishing,Low,Blocked,932,26.98,168,1205.790881,-11.8424941,3.2950962214,5.1762486875
04JAN24:06:00:00,30.114.147.17,105.180.255.213,HTTP,Malware,High,Blocked,1431,287.77,409,4228.3628165,-65.09426385,5.6621615847,7.5752234305
04JAN24:07:00:00,78.97.112.243,69.5.240.190,HTTP,Malware,Medium,Blocked,1147,214.73,25,2409.3354397,39.679003308,5.3693814715,7.341347105
04JAN24:08:00:00,65.88.160.22,159.135.210.49,HTTPS,DDoS,Medium,Blocked,1206,236.47,131,2832.1684005,4.0171999676,5.4658213923,7.4141554508
04JAN24:09:00:00,142.186.51.36,130.180.112.99,TCP,Ransomware,Medium,Blocked,391,211.26,325,2664.6533063,-21.13378391,5.3530896497,7.284605681
04JAN24:10:00:00,128.117.208.149,168.190.13.120,HTTPS,DDoS,Medium,Successful,584,176.96,102,1795.0133956,-28.40763858,5.1759237748,7.0986337635
04JAN24:11:00:00,67.196.150.120,159.130.129.48,HTTPS,Ransomware,Medium,Blocked,952,135.03,374,2641.4697565,19.777684197,4.90549705,6.8721153491
04JAN24:12:00:00,112.128.170.223,216.202.156.239,TCP,Ransomware,Medium,Successful,191,257.53,282,2825.5505847,-3.223538618,5.551136257,7.4952566095
04JAN24:13:00:00,210.68.118.162,24.247.241.182,TCP,,Medium,Blocked,1221,287.06,296,3597.0112288,-41.19709407,5.659691288,7.5848863415
04JAN24:14:00:00,12.116.164.147,40.53.46.134,TCP,Malware,Critical,Blocked,692,149.76,294,2189.933847,-65.67016718,5.0090340795,6.8902528439
04JAN24:15:00:00,141.182.14.78,91.21.80.60,,Brute Force,Low,Blocked,997,279.47,422,3891.6360347,-76.54857792,5.6328949881,7.5388895102
04JAN24:16:00:00,7.200.7.191,17.10.192.208,HTTP,Ransomware,High,Blocked,802,175.04,452,3187.4721273,-16.32086388,5.1650145764,7.0975150586
04JAN24:17:00:00,119.145.76.18,14.76.170.28,ICMP,SQL Injection,Low,Blocked,1366,161.56,263,2735.3550939,26.014035453,5.0848766526,7.0535287208
04JAN24:18:00:00,163.11.235.69,213.151.246.237,ICMP,Malware,High,Blocked,663,136.4,478,2635.3964501,36.271489508,4.9155918187,6.8987866806
04JAN24:19:00:00,91.150.87.180,19.218.14.93,TCP,Brute Force,Medium,Blocked,695,62.87,414,1998.0491512,9.8859029053,4.1410692615,6.1091940545
04JAN24:20:00:00,58.79.127.239,157.113.203.237,ICMP,Ransomware,High,Blocked,489,1.22,120,544.58043893,0.0618656401,0.1988590554,2.1519802772
04JAN24:21:00:00,17.187.197.52,32.137.238.53,ICMP,Ransomware,Low,Blocked,760,72.53,403,2065.6118574,-23.17636603,4.2840004072,6.1831868695
04JAN24:22:00:00,134.76.122.123,77.124.247.146,TCP,DDoS,Medium,Blocked,1287,152.97,231,2423.9974884,13.591775511,5.0302418891,6.9887653206
04JAN24:23:00:00,85.183.34.65,38.114.167.6,ICMP,DDoS,Medium,Blocked,82,114.05,291,1573.3421744,-6.633117267,4.7366370364,6.6742038692
05JAN24:00:00:00,161.191.144.226,48.158.239.254,HTTPS,,High,Blocked,303,134.6,488,2260.243737,-2.967503079,4.9023074915,6.8450630598
05JAN24:01:00:00,115.11.24.126,98.26.80.152,UDP,Brute Force,Medium,Successful,1066,294.2,161,3370.3930016,74.304931057,5.6842598422,7.6656151566
05JAN24:02:00:00,5.31.23.229,119.138.161.110,UDP,Ransomware,Medium,Successful,1331,105.15,161,1773.8157877,-10.29586999,4.6553879973,6.5872113073
05JAN24:03:00:00,49.211.175.6,202.175.170.86,TCP,Malware,Medium,Successful,635,135.71,78,1493.1273117,64.194342469,4.9105203298,6.9218202543
05JAN24:04:00:00,18.105.141.146,63.235.217.22,HTTP,Malware,Medium,Blocked,1079,40.14,38,1025.8815583,14.519883671,3.6923735925,5.688668477
05JAN24:05:00:00,19.34.17.124,58.210.107.49,TCP,Phishing,Medium,Successful,1397,14.48,394,1514.8379411,1.8296479352,2.6727690776,4.6365686342
05JAN24:06:00:00,64.241.202.234,151.211.235.196,HTTP,DDoS,Low,Successful,1122,232.65,441,3708.2549538,-18.37378141,5.4495352213,7.3840989107
05JAN24:07:00:00,194.242.13.119,57.163.79.34,UDP,Brute Force,Critical,Blocked,1052,171.25,28,1761.6910558,-25.46543957,5.1431245355,7.0675624198
05JAN24:08:00:00,111.197.47.161,126.92.26.112,TCP,Ransomware,High,Blocked,216,228.24,462,3202.3418109,-26.34980614,5.4303977507,7.3596778032
05JAN24:09:00:00,28.213.82.112,142.160.214.109,HTTPS,Malware,Critical,Successful,102,45.04,100,766.25941731,7.2694669582,3.8075512059,5.7762565414
05JAN24:10:00:00,213.68.181.17,164.81.182.38,ICMP,Ransomware,Low,Blocked,997,171.59,294,2473.9524118,98.479140672,5.1451079686,7.1698188449
05JAN24:11:00:00,56.252.171.137,166.234.94.52,HTTP,Phishing,High,Blocked,1042,76.17,400,2113.2783513,20.068501334,4.3329678157,6.3158253631
05JAN24:12:00:00,123.163.219.109,214.70.38.95,ICMP,Brute Force,High,Blocked,600,68.5,124,1283.0077831,-11.05304456,4.2268338913,6.1494228945
05JAN24:13:00:00,63.37.159.222,106.100.140.129,,Malware,Medium,Blocked,1370,3.56,405,1662.5496711,-0.680634529,1.2697633538,3.1879783965
05JAN24:14:00:00,108.191.80.181,16.79.207.19,TCP,Ransomware,Medium,Successful,1309,39.19,92,1118.9429889,11.96864823,3.6684218674,5.6570355255
05JAN24:15:00:00,112.239.140.45,111.254.90.75,ICMP,DDoS,Medium,Blocked,1352,92.85,255,2138.656409,-38.54007939,4.5309853955,6.4157676517
05JAN24:16:00:00,131.230.186.146,84.52.224.11,HTTPS,Phishing,High,Blocked,994,35.15,97,1156.2218679,-14.45178969,3.5596249028,5.4450040614
05JAN24:17:00:00,177.212.76.69,164.204.240.164,ICMP,Brute Force,Medium,Blocked,1395,295.76,6,2988.8292018,-62.13414359,5.6895483484,7.6049870395
05JAN24:18:00:00,94.131.179.250,112.195.106.212,TCP,Phishing,Low,Blocked,889,92.66,169,1754.0284492,-21.32572593,4.5289369879,6.4414157831
05JAN24:19:00:00,10.132.216.46,42.116.49.132,HTTPS,DDoS,Medium,Blocked,1318,39.18,383,1946.1511963,-6.962599632,3.6681666677,5.588361935
05JAN24:20:00:00,69.32.139.212,80.70.72.61,UDP,Brute Force,Critical,Blocked,643,59.8,271,1596.180911,11.566214834,4.0910058282,6.0641717034
05JAN24:21:00:00,169.17.138.157,19.20.231.178,ICMP,Phishing,High,Successful,645,176.35,108,1976.7156024,27.935393966,5.1724707134,7.1407583879
05JAN24:22:00:00,143.13.148.165,26.181.129.160,TCP,SQL Injection,Critical,Blocked,869,19.31,387,1576.7510319,8.1945941682,2.9606236143,4.9653910648
05JAN24:23:00:00,47.193.254.5,122.225.232.106,UDP,DDoS,Medium,Blocked,1262,258.74,299,3552.2256947,22.85322665,5.5558237351,7.5142727751
06JAN24:00:00:00,130.139.32.159,3.7.230.101,UDP,DDoS,Low,Blocked,1334,288.45,47,3144.2255281,24.067820495,5.6645217954,7.622281212
06JAN24:01:00:00,154.212.148.184,58.90.74.108,HTTP,DDoS,Low,Blocked,785,74.1,99,1140.5946511,-5.246742319,4.3054156673,6.2411590178
06JAN24:02:00:00,148.63.103.79,76.187.186.206,HTTPS,SQL Injection,Low,Successful,597,135.08,14,1499.0873518,41.075146456,4.9058672695,6.8943003221
06JAN24:03:00:00,205.162.82.165,139.43.164.232,ICMP,SQL Injection,Low,Successful,103,6.74,194,587.0493944,1.5859649022,1.9080614086,3.8870328341
06JAN24:04:00:00,148.27.150.166,192.185.27.131,TCP,Ransomware,Medium,Successful,1293,192.25,157,2621.3892037,2.1292894088,5.2587966604,7.206287747
06JAN24:05:00:00,118.85.35.138,63.51.24.247,HTTP,Malware,Low,Blocked,981,124.24,388,2658.8380233,21.149338523,4.8222152593,6.7921528811
06JAN24:06:00:00,83.51.38.240,190.77.64.97,HTTPS,Phishing,Medium,Blocked,288,81.09,154,1067.8124254,13.219055559,4.3955597723,6.3644909392
06JAN24:07:00:00,18.82.69.240,220.49.187.206,HTTP,Ransomware,Critical,Blocked,1309,62.13,115,1358.6187443,-1.617179181,4.129229125,6.0714137831
06JAN24:08:00:00,70.102.23.197,157.174.29.52,HTTPS,Phishing,Medium,Blocked,979,196.24,396,2972.4789081,64.353785327,5.2793384509,7.2710320396
06JAN24:09:00:00,77.164.81.250,137.69.49.243,HTTPS,Malware,High,Successful,196,124.92,258,1746.3315129,11.049708214,4.8276736125,6.7861408459
06JAN24:10:00:00,10.30.138.198,218.203.226.146,ICMP,SQL Injection,Medium,Successful,774,53.98,145,1165.721733,-13.79828702,3.9886137928,5.8973234219
06JAN24:11:00:00,204.140.226.117,57.231.203.208,HTTPS,Malware,Low,Successful,1024,206.76,291,2769.9681606,-22.35863375,5.3315587487,7.261899988
06JAN24:12:00:00,219.211.42.122,168.36.135.54,HTTP,SQL Injection,Medium,Successful,1151,169.57,10,1996.3694615,-30.46797251,5.1332658799,7.0531725368
06JAN24:13:00:00,60.11.55.72,85.253.245.199,HTTPS,Malware,Low,Successful,1376,257.62,368,3601.8322277,-42.50944163,5.5514856698,7.4735408906
06JAN24:14:00:00,174.107.142.27,117.17.238.235,ICMP,Ransomware,Medium,Blocked,1129,35.33,214,1569.8519772,-13.41835826,3.5647327444,5.4548579814
06JAN24:15:00:00,128.128.44.124,145.30.68.133,ICMP,Brute Force,Medium,Blocked,701,235.72,233,2804.8203712,13.917153766,5.4626447024,7.4169538781
06JAN24:16:00:00,147.41.5.122,153.79.35.221,HTTP,Ransomware,Low,Blocked,1083,202.09,171,2680.0105381,-3.568722358,5.3087131922,7.2520973865
06JAN24:17:00:00,204.212.37.40,125.199.147.113,UDP,Phishing,Low,Blocked,72,34.59,21,207.07117129,1.0614870998,3.543564912,5.4938491869
06JAN24:18:00:00,205.19.7.56,187.159.11.221,UDP,Ransomware,Medium,Blocked,597,208.48,15,2037.2648594,19.404548667,5.3398431613,7.2989622605
06JAN24:19:00:00,120.219.53.173,190.104.195.192,HTTPS,DDoS,Critical,Blocked,112,132.52,419,2003.8097008,33.660124552,4.8867336529,6.868286675
06JAN24:20:00:00,180.249.109.229,43.196.202.155,TCP,Phishing,High,Successful,864,283.5,368,3733.9071284,87.338486966,5.6472121584,7.6361916549
06JAN24:21:00:00,124.215.175.76,169.144.1.78,HTTPS,Malware,High,Blocked,1406,42.57,126,1449.5358244,8.9902173948,3.7511500147,5.7267833396
06JAN24:22:00:00,182.131.222.129,184.13.126.5,HTTP,Phishing,Low,Successful,1196,192.89,341,2872.4431994,-2.200730318,5.2621201301,7.2063990121
06JAN24:23:00:00,144.229.28.185,204.163.248.251,HTTP,Brute Force,High,Successful,1118,114.66,341,2295.2062961,-12.76251162,4.7419713147,6.6718525474
07JAN24:00:00:00,12.4.151.183,101.203.73.143,HTTP,SQL Injection,High,Blocked,100,287.05,213,2803.2148083,71.909700477,5.6596564515,7.6407286194
07JAN24:01:00:00,209.160.37.1,68.21.44.181,HTTP,Malware,Medium,Blocked,,99.06,188,0,-2.646792704,4.5957258281,6.537811575
07JAN24:02:00:00,91.27.221.140,207.201.21.162,HTTP,Phishing,Critical,Blocked,285,288.66,172,2823.7573069,-6.709535061,5.6652495596,7.6078336209
07JAN24:03:00:00,172.90.74.41,4.53.254.206,ICMP,Malware,Medium,Successful,1239,270.46,480,4029.074821,23.276989592,5.60012425,7.5582543193
07JAN24:04:00:00,72.95.89.104,178.169.254.111,UDP,Malware,Critical,Successful,667,81.19,247,1435.6189031,-13.89784823,4.39679221,6.317944458
07JAN24:05:00:00,144.195.224.7,73.240.3.226,HTTP,Malware,Critical,Successful,1380,241.08,5,2633.3785335,-72.29639713,5.4851288701,7.3872534501
07JAN24:06:00:00,111.17.194.28,88.243.61.129,TCP,SQL Injection,Low,Blocked,744,298.68,231,3299.7331829,-93.27209652,5.6993727996,7.5996456268
07JAN24:07:00:00,7.107.231.30,47.213.88.51,TCP,Ransomware,Medium,Blocked,701,75.87,201,1508.480969,-34.8585624,4.3290214812,6.2070424461
07JAN24:08:00:00,2.114.143.17,190.46.94.198,TCP,Malware,Critical,Blocked,1194,131.09,373,2650.5767395,-95.97190065,4.8758841865,6.7113243832
07JAN24:09:00:00,73.138.26.254,136.102.216.27,TCP,DDoS,Low,Successful,1165,156.1,402,2677.3946886,-76.12303127,5.0504968916,6.9241963594
07JAN24:10:00:00,6.244.39.130,10.186.207.113,ICMP,Brute Force,Medium,Blocked,349,88.55,149,1243.4091957,15.772826521,4.4835674772,6.4546053631
07JAN24:11:00:00,137.122.94.93,86.214.124.163,TCP,SQL Injection,Critical,Blocked,1355,4.68,72,1014.321216,-0.831877794,1.5433002467,3.4634875085
07JAN24:12:00:00,17.86.169.123,218.104.12.150,HTTP,Phishing,Medium,Blocked,534,66.12,492,2086.4008333,8.6404226396,4.1914714242,6.155877601
07JAN24:13:00:00,34.141.163.57,222.243.63.187,HTTPS,SQL Injection,Low,Blocked,1424,84.65,226,1806.9662095,6.6452194156,4.4385252267,6.3955874706
07JAN24:14:00:00,214.184.242.109,193.139.121.231,TCP,Phishing,Medium,Blocked,377,133.14,74,1499.0951102,46.238567615,4.8914012813,6.8857331396
07JAN24:15:00:00,134.148.43.176,5.20.183.31,ICMP,SQL Injection,Low,Blocked,618,51.41,307,1547.2107713,-25.97272468,3.9398329006,5.8108334167
07JAN24:16:00:00,58.2.22.79,194.181.73.23,ICMP,Phishing,Medium,Blocked,49,261.99,169,2640.8974642,-71.68867075,5.5683063733,7.474341766
07JAN24:17:00:00,193.79.33.157,157.56.1.230,TCP,Malware,Low,Blocked,88,211.5,249,2369.1888595,-64.82923783,5.3542250458,7.2553587417
07JAN24:18:00:00,215.147.90.41,155.214.171.84,HTTPS,Ransomware,Medium,Successful,662,25.65,280,1350.3569965,-8.69208303,3.2445439615,5.1408323747
07JAN24:19:00:00,213.170.105.186,12.244.95.111,TCP,Phishing,Medium,Successful,1384,195.06,488,3627.4751296,-141.7837994,5.2733072548,7.1095822053
07JAN24:20:00:00,208.203.12.199,223.105.176.200,ICMP,Phishing,High,Blocked,770,196.13,152,2316.684884,-23.65643543,5.2787777557,7.2073068108
07JAN24:21:00:00,109.80.161.180,4.183.104.25,UDP,DDoS,Medium,Successful,834,286.87,224,3212.4025181,113.51664831,5.6590291863,7.6599289383
07JAN24:22:00:00,189.44.193.21,27.180.127.57,HTTP,Phishing,Medium,Blocked,1010,1.01,225,1131.84672,-0.138764999,0.0099602318,1.9360394509
07JAN24:23:00:00,163.248.126.54,41.247.70.177,ICMP,DDoS,Medium,Blocked,172,74.45,38,802.33910555,10.221288692,4.3101278934,6.2754610211
08JAN24:00:00:00,120.221.97.61,32.1.131.86,TCP,Brute Force,Low,Successful,122,278.34,44,2556.2596035,-28.88059922,5.6288434239,7.5598197075
08JAN24:01:00:00,34.122.118.194,10.46.73.98,HTTP,Malware,Medium,Successful,96,279.65,185,2905.5982939,4.7815218848,5.633538857,7.5818886023
08JAN24:02:00:00,215.30.45.80,62.7.86.219,TCP,DDoS,Low,Successful,415,216.2,499,3362.1699442,-117.8416571,5.3762039515,7.2410498671
